Natural Gas from GAIL
C3H8_NG4,0,0.0088,0.00884329978471,8.8e-05,2,xfrac
Cold-side outlet of Heat Exchanger E-2
FIC3105,1,1132.91397759,1193.05783162,11.3348273455,-1,KG/HR
TIC4101,2,377.39,377.39,3.7739,2,C
PIC3112,2,32.45,32.45,0.3245,2,kg/cm2
N2_NG5,0,0.00295,0.00231664676472,2.95e-05,2,xfrac
CO2_NG5,0,0.001158,4.35596079908e-38,1.158e-05,2,xfrac
H2_NG5,0,0.039945,0.040234717138,0.00039945,2,xfrac
C4H10_NG5,0,0.00411,0.00412026682089,4.11e-05,2,xfrac
CH4_NG5,0,0.8936,0.894690258496,0.008936,2,xfrac
C5H12_NG5,0,0.0005,0.000502130561076,5e-06,2,xfrac
C2H6_NG5,0,0.04856,0.048949271101,0.0004856,2,xfrac
C6H14_NG5,0,0.0003434,0.000343409333896,3.434e-06,2,xfrac
C3H8_NG5,0,0.0088,0.00884329978471,8.8e-05,2,xfrac
Outlet of HT Shift Reactor or Hot-side inlet of Exchanger E-2
FU_HT1,0,418.0,338.004833387,4.2,2,KMOL/HR
TI4181,2,418.21,418.21,4.1821,2,C
PU_HT1,2,25.7,25.7,0.257,2,kg/cm2
N2_HT1,1,0.0005,0.000552505190144,5e-06,0,xfrac
H2_HT1,1,0.7537,0.751373504222,0.007537,0,xfrac
CH4_HT1,1,0.0497,0.0507725670657,0.000497,0,xfrac
CO_HT1,1,0.0266,0.027699191913,0.000266,0,xfrac
CO2_HT1,1,0.1695,0.169602231609,0.001695,0,xfrac
H2O_HT1,0,0.2881,0.109646577313,0.0028,2,xfrac
Hot-side outlet of Exchanger E-2
FU_HT2,0,418.0,338.004833387,4.2,2,KMOl/HR
TU_HT2,2,300.0,300.0,3.0,2,C
PU_HT2,2,25.7,25.7,0.25,2,kg/cm2
N2_HT2,1,0.0005,0.000491924887097,5e-06,0,xfrac
H2_HT2,1,0.7537,0.668987971201,0.007537,0,xfrac
CH4_HT2,1,0.0497,0.0452055288655,0.000497,0,xfrac
CO_HT2,1,0.0266,0.0246620703254,0.000266,0,xfrac
CO2_HT2,1,0.1695,0.151005927408,0.001695,0,xfrac
H2O_HT2,0,0.2881,0.109646577313,0.0028,2,xfrac
Steam to be mixed with Pre-Reformer feed
FIC3104,1,3306.1,2654.61188979,33.06,0,KG/HR
TU_ST1,2,460.02,460.02,4.602,2,C
PU_ST1,2,31.58,31.58,0.3158,2,kg/cm2
Pre-Reformer feed before getting heated in the furnace
FU_NS1,0,254.36,219.251568362,2.3,2,KMol/HR
TI4169,2,385.36,385.36,3.8536,2,C
PU_NS1,2,31.6,31.6,0.31,2,kg/cm2
N2_NS1,0,0.00082,0.000758366249071,8.2e-06,2,xfrac
CO2_NS1,0,0.00032,-1.07004383878e-38,3.2e-06,2,xfrac
H2_NS1,0,0.01132,0.0131710418623,0.0001132,2,xfrac
H2O_NS1,0,0.7221,0.672644850039,0.007221,2,xfrac
C4H10_NS1,0,0.0011,0.00134879056303,1.1e-05,2,xfrac
CH4_NS1,0,0.2481,0.292881463738,0.002481,2,xfrac
C5H12_NS1,0,0.000139,0.000164375025121,1.39e-06,2,xfrac
C2H6_NS1,0,0.01348,0.0160237959817,0.0001348,2,xfrac
C6H14_NS1,0,9.5e-06,0.000112416813995,9.5e-08,2,xfrac
C3H8_NS1,0,0.00245,0.00289489972717,2.45e-05,2,xfrac
Pre-Reformer feed after getting heated in the furnace
FU_NS2,0,254.36,219.251568362,2.5436,2,KMol/HR
TRC4167,2,479.96,479.96,4.7996,2,C
PI4103,2,30.14,30.14,0.3014,2,kg/cm2
N2_NS2,0,0.00082,0.000758366249071,8.2e-06,2,xfrac
CO2_NS2,0,0.00032,-1.07004369866e-38,3.2e-06,2,xfrac
H2_NS2,0,0.01132,0.0131710418623,0.0001132,2,xfrac
H2O_NS2,0,0.7221,0.672644850039,0.007221,2,xfrac
C4H10_NS2,0,0.0011,0.00134879056303,1.1e-05,2,xfrac
CH4_NS2,0,0.2481,0.292881463738,0.002481,2,xfrac
C5H12_NS2,0,0.000139,0.000164375025121,1.39e-06,2,xfrac
C2H6_NS2,0,0.01348,0.0160237959817,0.0001348,2,xfrac
C6H14_NS2,0,9.5e-06,0.000112416813995,9.5e-08,2,xfrac
C3H8_NS2,0,0.00245,0.00289489972717,2.45e-05,2,xfrac
Pre-Reformer outlet1
FU_NS3,0,246.5,240.13476694,2.5,2,KMOl/HR
TI3119,2,432.8,432.8,4.3,2,C
PI4132,2,29.1,29.1,0.291,2,kg/cm2
CO_NS3,0,0.0373,0.0434822471643,0.000373,2,xfrac
N2_NS3,0,0.00082,0.000692415311705,8.2e-06,2,xfrac
H2_NS3,0,0.102,0.117747778549,0.00102,2,xfrac
H2O_NS3,0,0.63,0.570666383628,0.0063,2,xfrac
CH4_NS3,0,0.23,0.267411175346,0.0023,2,xfrac
Pre-Reformer outlet2
FU_NS3a,0,246.5,227.784415526,2.5,2,KMOl/HR
TI3119a,2,432.8,432.8,4.3,2,C
PI4132a,2,29.1,29.1,0.291,2,kg/cm2
N2_NS3a,0,0.0011,0.00072995770636,1.1e-05,2,xfrac
H2_NS3a,0,0.0613,0.0612648343967,0.000613,2,xfrac
CH4_NS3a,0,0.25996,0.309019806352,0.0025996,2,xfrac
CO_NS3a,0,0.00024,0.000268048738228,2.4e-06,2,xfrac
CO2_NS3a,0,0.01792,0.0184620455572,0.0001792,2,xfrac
H2O_NS3a,0,0.65978,0.610255307249,0.006597,2,xfrac
Steam to be mixed with the Pre-Reformer outlet
FIC3107,1,1144.93,7.44564412894e-06,11.44,-1,KG/HR
TU_ST2,2,436.6,436.6,4.3,2,C
PU_ST2,2,31.6,31.6,0.316,2,kg/cm2
Feed to Steam Reformer before getting heated in the furnace
FU_NS4,0,327.0,227.78441594,3.27,2,KMOl/HR
TI3130,2,411.97,411.97,4.1197,2,C
PU_NS4,2,28.5,28.5,0.3,2,kg/cm2
N2_NS4,0,0.00063,0.000729957705035,6.3e-06,2,xfrac
H2_NS4,0,0.0494,0.0612648342854,0.000494,2,xfrac
CH4_NS4,0,0.20947,0.309019805791,0.0020947,2,xfrac
CO_NS4,0,0.000194,0.000268048737741,1.94e-06,2,xfrac
CO2_NS4,0,0.0144,0.0184620455237,0.000144,2,xfrac
H2O_NS4,0,0.7258,0.610255307957,0.007258,2,xfrac
Feed to Steam Reformer after getting heated in the furnace
FU_NS5,0,327.0,227.78441594,3.27,2,KMOl/HR
TIC3124,2,600.0,600.0,6.0,2,C
PI3117,2,28.9,28.9,0.29,2,kg/cm2
N2_NS5,0,0.00063,0.000729957705035,6.3e-06,2,xfrac
H2_NS5,0,0.0494,0.0612648342854,0.000494,2,xfrac
CH4_NS5,0,0.20947,0.309019805791,0.0020947,2,xfrac
CO_NS5,0,0.000194,0.000268048737741,1.94e-06,2,xfrac
CO2_NS5,0,0.0144,0.0184620455237,0.000144,2,xfrac
H2O_NS5,0,0.7258,0.610255307957,0.007258,2,xfrac
Outlet of  Steam Reformer or Hotside inlet of RG Boiler
FU_NS6,0,417.36,339.048645482,4.17,2,KMOl/HR
TI3132,2,832.0,832.0,8.3,2,C
PU_NS6,2,26.0,26.0,0.3,2,kg/cm2
N2_NS6,1,0.0006,0.000598712126911,6e-06,0,xfrac
H2_NS6,1,0.7316,0.73058045291,0.007316,0,xfrac
CH4_NS6,1,0.0531,0.0531394942734,0.000531,0,xfrac
CO_NS6,1,0.1206,0.121164472263,0.001206,0,xfrac
CO2_NS6,1,0.0941,0.0945168684268,0.000941,0,xfrac
H2O_NS6,0,0.4461,0.180891115237,0.004461,2,xfrac
Inlet of HT shift Reactor or Hotside outlet of RG Boiler
FU_NS7,0,453.29,339.048645482,4.53,2,KMOl/HR
TIC3135,2,354.48,354.48,3.5448,2,C
PI3129,2,26.67,26.67,0.2667,2,kg/cm2
N2_NS7,0,0.00035,0.000490410422568,3.5e-06,2,xfrac
H2_NS7,0,0.3664,0.598424940013,0.003664,2,xfrac
CH4_NS7,0,0.0386,0.0435270318912,0.000386,2,xfrac
CO_NS7,0,0.1093,0.099246895748,0.001093,2,xfrac
CO2_NS7,0,0.0111,0.0774196066884,0.000111,2,xfrac
H2O_NS7,0,0.4826,0.180891115237,0.004826,2,xfrac
Coldside inlet of RG Boiler
FI4110,1,3949.0,3126.94344329,39.49,-1,KG/HR
TU_W1,2,50.0,50.0,0.5,2,C
PU_W1,2,25.0,25.0,0.25,2,kg/cm2
Coldside outlet of RG Boiler
FU_ST3,0,3949.0,3126.94344329,39.49,2,KG/HR
TU_ST3,2,240.0,240.0,2.4,2,C
PU_ST3,2,30.0,30.0,0.3,2,kg/cm2
Inlet of LT shift Reactor or Hotside outlet of E-16 Exchanger
FU_HT3,0,451.236,338.004833387,4.51236,2,KMOl/HR
TI4174,2,185.17,185.17,1.8517,2,C
PU_HT3,2,25.7,25.7,0.25,2,kg/cm2
N2_HT3,0,0.000326,0.000491924887097,3.26e-06,2,xfrac
H2_HT3,0,0.4618,0.668987971201,0.004618,2,xfrac
CH4_HT3,0,0.030695,0.0452055288655,0.00030695,2,xfrac
CO_HT3,0,0.0156,0.0246620703254,0.000156,2,xfrac
CO2_HT3,0,0.1052,0.151005927408,0.001052,2,xfrac
H2O_HT3,0,0.38629,0.109646577313,0.0038629,2,xfrac
Cold side inlet of E-16
FU_W2,0,422.34,376.65796904,4.2234,2,KMOL/HR
TU_W2,2,40.0,40.0,0.3,2,C
PU_W2,2,25.0,25.0,0.25,2,kg/cm2
Cold side outlet of E-16
FU_W3,0,422.34,376.65796904,4.2234,2,KMOl/HR
TU_W3,2,50.0,50.0,0.5,2,C
PU_W3,2,25.0,25.0,0.25,2,kg/cm2
Outlet of LT shift Reactor or Hotside inlet of E-3 
FU_LT1,0,451.23,337.59097632,4.5123,2,KMOl/HR
TI4180,2,188.0,188.0,1.8,2,C
PU_LT1,2,25.7,25.7,0.25,2,kg/cm2
N2_LT1,1,0.0005,0.000540355335121,5e-06,0,xfrac
H2_LT1,1,0.7608,0.756840920515,0.007608,0,xfrac
CH4_LT1,1,0.0489,0.0503285319397,0.000489,0,xfrac
CO_LT1,1,0.0024,0.0024096798736,2.4e-05,0,xfrac
CO2_LT1,1,0.1874,0.189880512336,0.001874,0,xfrac
H2O_LT1,0,0.2653,0.0885109999781,0.0026,2,xfrac
feed to steam drum or FG boiler
FI3110,1,3652.9,3652.89999944,36.529,0,KG/HR
TU_W4,2,50.0,50.0,0.5,2,C
PU_W4,2,25.0,25.0,0.25,2,kg/cm2
Steam from Steam Drum or FG boiler
FU_ST4,0,202.94,202.938888858,2.0294,2,KMOL/HR
TU_ST4,2,190.0,190.0,2.0,2,C
PU_ST4,2,30.0,30.0,0.3,2,kg/cm2
Export Steam
FI3106,1,4323.33,4125.23154549,43.23,0,KG/HR
TU_ST5,2,180.0,180.0,1.8,2,C
PIC3114,2,32.39,32.39,0.3239,2,kg/cm2
Inlet to suher heater
FU_ST6,0,182.14,147.478438735,1.8214,2,KMOL/HR
TU_ST6,2,190.0,190.0,2.0,2,C
PU_ST6,2,30.0,30.0,0.3,2,kg/cm2
Combined Stream from Rg and FG Boilers
FU_ST8,0,422.33,376.65796904,4.2233,2,KMOL/HR
TU_ST8,2,190.0,190.0,2.0,2,C
PU_ST8,2,30.0,30.0,0.3,2,kg/cm2
Super heated steam from super heater
FU_ST7,0,229.0,147.478438735,2.29,2,KMOL/HR
TIC3123,2,460.02,460.02,4.6,2,C
PI3116,2,31.58,31.58,0.3158,2,kg/cm2
Atmospheric air to air pre-heater
FU_AR1,0,413.76,397.131587437,4.13,2,KMOL/HR
TU_AR1,2,30.0,30.0,0.3,2,C
PU_AR1,2,1.03,1.03,0.01,2,kg/cm2
Pre-heated air to the furnace
FIC3109,1,11549.63,11453.2749817,115.496,0,KG/HR
TI3131,2,285.9,285.9,2.85,2,C
PU_AR2,2,1.03,1.03,0.01,2,kg/cm2
Air-Natural gas- off gas mixture to furnace for burning
FU_AN1,0,424.86,522.002416173,4.2,2,KMOL/HR
TU_AN1,2,60.0,60.0,0.6,2,C
PU_AN1,2,1.03,1.03,0.01,2,kg/cm2
N2_AN1,0,0.65,0.601394659449,0.0065,2,xfrac
H2_AN1,0,0.1,0.0726722761799,0.001,2,xfrac
O2_AN1,0,0.16,0.159764841652,0.0016,2,xfrac
CH4_AN1,0,0.06,0.0512994574908,0.0006,2,xfrac
C2H6_AN1,0,0.0491,0.00118349150524,0.000491,2,xfrac
C3H8_AN1,0,0.01362,0.000213812584703,0.0001362,2,xfrac
CO_AN1,0,0.001,0.00142046029446,1e-05,2,xfrac
CO2_AN1,0,0.13,0.111930937972,0.0013,2,xfrac
C4H10_AN1,0,0.006309,9.96194769022e-05,6.309e-05,2,xfrac
C5H12_AN1,0,0.00089,1.21404719659e-05,8.9e-06,2,xfrac
C6H14_AN1,0,0.000466,8.30292301253e-06,4.66e-06,2,xfrac
Off gas from PSA unit
FIC3113,1,2698.13260709,2919.91493046,26.9728104259,-1,KG/HR
TU_LT4,2,25.0,25.0,0.25,2,C
PIC3156,2,25.0,25.0,0.25,2,kg/cm2
CO_LT4,1,0.0066,0.00657590328735,6.6e-05,0,xfrac
CH4_LT4,1,0.1378,0.137344201715,0.001378,0,xfrac
CO2_LT4,1,0.5241,0.51817500696,0.005241,0,xfrac
AI3103B,1,0.33,0.336430283687,0.0033,0,xfrac
N2_LT4,1,0.0015,0.00147460435035,1.5e-05,0,xfrac
Off gas from PSA unit (Pseudo Stream to handle pressure drop)
FU_LT4a,0,2635.07696452,2919.91493046,26.3424530118,2,KG/HR
TU_LT4a,2,25.0,25.0,0.25,2,C
PU_LT4a,2,0.25,0.25,0.0025,2,kg/cm2
CO_LT4a,0,0.0071,0.00657590328735,7e-05,2,xfrac
CH4_LT4a,0,0.1478,0.137344201715,0.0029,2,xfrac
CO2_LT4a,0,0.5362,0.51817500696,0.0053,2,xfrac
H2_LT4a,0,0.2981,0.336430283687,0.0029,2,xfrac
N2_LT4a,0,0.0009,0.00147460435035,9e-06,2,xfrac
Flue Gas from furnace
FU_FG1,0,424.0,503.186138329,4.2,2,KMOL/HR
TI3121,2,167.9,167.9,1.67,2,C
PIC3127,2,0.9,0.9,0.009,2,kg/cm2
N2_FG1,0,0.608,0.623883373156,0.006,2,xfrac
CO2_FG1,0,0.1691,0.174456804025,0.0016,2,xfrac
H2O_FG1,0,0.2014,0.187048386899,0.002,2,xfrac
O2_FG1,1,0.0146,0.0146114359195,0.000146,0,xfrac
Combined water from Separators and Fresh water make up
FU_W5,0,235.0,376.657971413,2.35,2,KMOL/HR
TU_W5,2,30.0,30.0,0.5,2,C
PU_W5,2,25.0,25.0,0.25,2,kg/cm2
Hotside outlet of E-3
FU_LT2,0,418.0,337.59097632,4.18,2,KMOl/HR
TU_LT2,2,95.0,95.0,0.95,2,C
PU_LT2,2,25.7,25.7,0.25,2,kg/cm2
N2_LT2,0,0.0009,0.000492527944066,9e-06,2,xfrac
H2_LT2,0,0.5532,0.689852173816,0.0055,2,xfrac
CH4_LT2,0,0.0384,0.0458739032503,0.00038,2,xfrac
CO_LT2,0,0.0025,0.00219639669836,2.5e-05,2,xfrac
CO2_LT2,0,0.1397,0.173073998313,0.0014,2,xfrac
H2O_LT2,0,0.2653,0.0885109999781,0.0026,2,xfrac
Water from De-Aerator to Exchanger E3
FU_W9,0,190.0,376.65796904,1.09,2,KMOL/HR
TU_W9,2,95.0,95.0,0.95,2,C
PU_W9,2,25.0,25.0,0.25,2,kg/cm2
Water obtained from all the separators
FU_W6,0,109.3,29.8805148976,1.09,2,KMOL/HR
TU_W6,2,95.0,95.0,0.95,2,C
PU_W6,2,25.0,25.0,0.25,2,kg/cm2
Gas from LT shift and free from water or steam
FI3112,1,3199.81151249,3309.8204607,31.9981151249,0,KG/HR
TI3142,2,28.0,28.0,0.28,2,C
PIC3135,2,25.0,25.0,0.25,2,kg/cm2
CO_LT3,0,0.0034,0.0024096798736,3.4e-05,2,xfrac
CH4_LT3,0,0.0519,0.0503285319397,0.0005,2,xfrac
CO2_LT3,0,0.1896,0.189880512336,0.0019,2,xfrac
H2_LT3,0,0.7508,0.756840920515,0.0075,2,xfrac
N2_LT3,0,0.0009,0.000540355335121,9e-06,2,xfrac
Fresh water make up
FI4119,1,5876.0,6241.99421727,58.76,0,KG/HR
TU_W7,2,95.0,95.0,0.95,2,C
PU_W7,2,25.0,25.0,0.25,2,kg/cm2
Steam from the vent of De-Aerator
FU_W8,0,45.0,2.37228749155e-06,1.09,2,KMOL/HR
TU_W8,2,95.0,95.0,0.95,2,C
PU_W8,2,25.0,25.0,0.25,2,kg/cm2
Hydrogen obtained from PSA unit
FI3114,1,312.31,389.90553024,3.1231,-1,KG/HR
TI3142,2,28.0,28.0,0.28,2,C
PIC3160,2,22.04,22.04,0.2204,2,kg/cm2
Hydrogen to Storage
FI3122,1,4253.86,4698.85432166,42.5386,0,NM3/HR
TU_H2,2,25.0,25.0,0.25,2,C
PIC3161,2,16.3,16.3,0.163,2,kg/cm2
Hydrogen to AO plant
FIC3216,1,4253.86,4455.35432156,42.5386,-1,NM3/HR
TU_H3,2,25.0,25.0,0.25,2,C
PU_H3,2,16.3,16.3,0.163,2,kg/cm2
Hydrogen to Filling
FI1901A,1,243.5,243.500000105,2.435,0,NM3/HR
TU_H4,2,25.0,25.0,0.25,2,C
PU_H4,2,16.3,16.3,0.163,2,kg/cm2
